Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,6.219097,6.630513,6.086780,6.347669,6.347669,382811153
2021-09-01,6.334477,6.869293,6.160299,6.767089,6.767089,401294471
2021-09-02,6.768783,6.954610,6.579869,6.788112,6.788112,354857498
2021-09-03,6.776058,7.096491,6.578042,6.956488,6.956488,420790441
2021-09-04,6.949920,7.279445,6.821105,7.167533,7.167533,443314933
2021-09-05,7.176638,9.076545,7.078878,8.902260,8.902260,1330699128
2021-09-06,8.941271,10.194783,8.383662,9.010692,9.010692,2474759376
2021-09-07,9.031900,9.695922,6.563202,7.626663,7.626663,1593475647
2021-09-08,7.624968,8.483620,6.681778,8.028546,8.028546,1202273641
2021-09-09,8.329525,9.311479,7.658841,8.766226,8.766226,1322862900
2021-09-10,8.765038,9.520763,7.770025,8.173393,8.173393,958588185
2021-09-11,8.181967,9.577926,8.100644,9.139839,9.139839,1062875535
2021-09-12,9.183378,10.019036,8.774037,9.485760,9.485760,1367155158
2021-09-13,9.485754,9.702357,8.044651,8.569158,8.569158,911180738
2021-09-14,8.582338,8.997888,8.183522,8.985484,8.985484,696849046
2021-09-15,8.981261,9.080253,8.569403,9.080253,9.080253,481664874
2021-09-16,9.093888,9.286961,8.581396,8.990055,8.990055,506105415
2021-09-17,8.971661,8.971661,8.161891,8.463720,8.463720,406863019
2021-09-18,8.493865,8.965034,8.305173,8.807818,8.807818,399150567
2021-09-19,8.793211,10.077529,8.555474,9.643027,9.643027,1568493182
2021-09-20,9.685670,11.352490,7.863520,10.196262,10.196262,3369088670
2021-09-21,10.296547,11.394999,8.433122,8.527554,8.527554,2715136586
2021-09-22,8.525198,9.734510,8.303146,9.587450,9.587450,2056788823
2021-09-23,9.577035,10.073611,9.235366,9.878229,9.878229,1463383684
2021-09-24,9.881799,9.908828,8.473463,9.169887,9.169887,1346627782
2021-09-25,9.165237,9.276189,8.549384,8.934109,8.934109,678114549
2021-09-26,8.937978,9.383002,8.021572,9.071271,9.071271,856906471
2021-09-27,9.114313,9.592697,8.810078,9.316313,9.316313,857891621
2021-09-28,9.332505,9.851987,8.768275,8.891196,8.891196,1125549275
2021-09-29,8.940580,10.584623,8.730498,10.303999,10.303999,1516459110
2021-09-30,10.355031,12.472170,10.281415,12.472170,12.472170,2400483471
2021-10-01,12.465404,13.429245,12.102106,12.830470,12.830470,2264097686
2021-10-02,12.813642,16.457558,12.587209,15.540036,15.540036,3477651612
2021-10-03,15.503793,17.952093,15.019816,16.486612,16.486612,3543601969
2021-10-04,16.536634,18.124634,15.565159,16.584560,16.584560,2983769934
2021-10-05,16.566076,17.145617,15.285078,15.541516,15.541516,1488456592
2021-10-06,15.563857,15.563857,13.809610,14.403151,14.403151,1614400670
2021-10-07,14.409744,15.000948,13.818475,14.922890,14.922890,1340034740
2021-10-08,14.929519,15.527647,13.926212,13.999881,13.999881,1158897298
2021-10-09,13.991123,14.420956,13.748802,14.104632,14.104632,760983713
2021-10-10,14.089741,14.464155,12.898850,12.898850,12.898850,907659286
2021-10-11,12.901124,14.858381,12.744084,13.588539,13.588539,1487830399
2021-10-12,13.587812,15.431367,13.363881,14.662498,14.662498,1805996584
2021-10-13,14.667443,15.913993,14.549657,14.989102,14.989102,1407081205
2021-10-14,15.003990,15.229345,14.291908,14.459043,14.459043,663062783
2021-10-15,14.472920,14.672793,13.726824,13.906265,13.906265,991148192
2021-10-16,13.912125,14.574721,13.865214,14.111087,14.111087,505570485
2021-10-17,14.129489,14.249332,13.386715,13.796797,13.796797,373791259
2021-10-18,13.803396,14.483934,13.682271,13.998787,13.998787,593114028
2021-10-19,13.994515,14.236986,13.757407,14.236986,14.236986,421590259
2021-10-20,14.219871,14.714231,13.838891,14.648301,14.648301,518354453
2021-10-21,14.671342,15.992074,14.450090,14.792048,14.792048,1074595982
2021-10-22,14.796377,16.188656,13.983761,14.188570,14.188570,1397246083
2021-10-23,14.183810,14.534487,13.987015,14.242295,14.242295,488388048
2021-10-24,14.250556,14.787308,13.900066,14.353639,14.353639,596689772
2021-10-25,14.350061,15.144296,14.150492,14.464760,14.464760,814313496
2021-10-26,14.463397,14.738088,14.041927,14.106803,14.106803,580497224
2021-10-27,14.094742,14.257518,11.962986,12.713318,12.713318,1045140728
2021-10-28,12.717719,13.362553,12.560769,13.194624,13.194624,820913018
2021-10-29,13.216418,13.665937,12.944316,13.531448,13.531448,646933827
2021-10-30,13.483182,14.165672,13.151611,13.534253,13.534253,701919094
2021-10-31,13.554814,13.675041,12.888160,13.396359,13.396359,568952643
2021-11-01,13.428235,15.173471,13.345420,14.696280,14.696280,1756603486
2021-11-02,14.681165,15.509463,14.444816,14.812055,14.812055,1205017222
2021-11-03,14.810079,15.382124,13.905070,15.382124,15.382124,1276110017
2021-11-04,15.384711,19.174271,15.214651,19.115761,19.115761,3902884661
2021-11-05,19.166645,20.042496,16.734537,17.227741,17.227741,3294128906
2021-11-06,17.218504,17.218504,15.804524,16.639368,16.639368,1401330543
2021-11-07,16.675714,17.686798,16.307142,16.468292,16.468292,1396115956
2021-11-08,16.494452,17.901770,15.611274,17.467058,17.467058,2178893534
2021-11-09,17.509331,17.820507,16.141872,16.668304,16.668304,2612793994
2021-11-10,16.515324,17.363966,14.782046,15.201079,15.201079,1858662777
2021-11-11,15.230472,19.600870,15.136866,17.588083,17.588083,4678487855
2021-11-12,17.365831,17.365831,12.512341,13.012592,13.012592,5492495641
2021-11-13,13.051738,13.249726,11.744362,12.195549,12.195549,1586707759
2021-11-14,12.201485,12.208306,11.550176,11.817068,11.817068,739073568
2021-11-15,11.825002,11.852523,11.130866,11.162548,11.162548,748920282
2021-11-16,11.197018,11.197018,9.331403,10.320429,10.320429,1472840492
2021-11-17,10.312240,10.906675,10.159718,10.395354,10.395354,1337853776
2021-11-18,10.385875,10.385875,8.820926,9.068209,9.068209,894926752
2021-11-19,9.056262,10.530916,8.907991,10.161679,10.161679,1422513828
2021-11-20,10.164738,10.164915,9.581415,9.895175,9.895175,576328745
2021-11-21,9.902109,9.902109,9.486908,9.518574,9.518574,491833575
2021-11-22,9.514456,9.534343,8.974742,9.081919,9.081919,506145106
2021-11-23,9.093523,9.452926,9.004914,9.337680,9.337680,589564895
2021-11-24,9.337694,9.355869,8.536299,9.029521,9.029521,545473923
2021-11-25,8.651573,9.111460,8.547444,8.722811,8.722811,514000267
2021-11-26,8.890662,8.939414,7.851244,7.966896,7.966896,724436774
2021-11-27,7.996826,8.276276,7.965279,8.123489,8.123489,330987719
2021-11-28,8.141543,8.162059,7.504841,8.099441,8.099441,402151075
2021-11-29,8.107237,8.932140,7.992322,8.815584,8.815584,526277877
2021-11-30,8.791691,9.296821,8.581363,8.609170,8.609170,1046760511
2021-12-01,8.641772,8.760266,8.213156,8.288490,8.288490,423931846
2021-12-02,8.291134,8.325844,8.025696,8.092531,8.092531,293415994
2021-12-03,8.106634,8.260527,7.391051,7.653561,7.653561,458001688
2021-12-04,7.675279,7.693552,4.829830,6.606689,6.606689,1047209608
2021-12-05,6.604592,6.725166,5.984458,6.228064,6.228064,664809745
2021-12-06,6.235521,6.545622,5.690503,6.480363,6.480363,842525974
2021-12-07,6.480237,7.370100,6.423830,7.073687,7.073687,765371726
2021-12-08,7.071855,7.345273,6.603931,7.134777,7.134777,571915677
2021-12-09,7.125441,7.207801,6.399439,6.403345,6.403345,460854688
2021-12-10,6.403860,6.576681,6.017341,6.030752,6.030752,400371337
2021-12-11,6.043101,6.380626,5.910643,6.356738,6.356738,322120245
2021-12-12,6.350140,6.538998,6.239540,6.451558,6.451558,217055476
2021-12-13,6.455500,6.668014,5.600536,5.733556,5.733556,429941014
2021-12-14,5.732570,6.072118,5.623524,5.798957,5.798957,396453632
2021-12-15,5.981852,6.191523,5.565639,6.044577,6.044577,402017347
2021-12-16,6.045375,6.442411,6.045375,6.095255,6.095255,389559414
2021-12-17,6.103728,6.608648,5.830897,5.935389,5.935389,529161844
2021-12-18,5.938600,6.170841,5.814060,6.041750,6.041750,258471168
2021-12-19,6.043831,6.194447,5.899587,5.920674,5.920674,212598648
2021-12-20,5.922738,5.961645,5.586403,5.860200,5.860200,313261493
2021-12-21,5.856841,6.145990,5.832176,6.131283,6.131283,233167149
2021-12-22,6.133937,6.759985,6.061556,6.542022,6.542022,378315465
2021-12-23,6.542574,6.985310,6.422446,6.901816,6.901816,722866827
2021-12-24,6.904585,7.084152,6.607812,6.676396,6.676396,407077744
2021-12-25,6.688047,6.909110,6.647080,6.817888,6.817888,226907757
2021-12-26,6.818724,6.991922,6.631093,6.822961,6.822961,219527381
2021-12-27,6.814473,7.194744,6.780796,6.862638,6.862638,292729546
2021-12-28,6.870170,6.870170,6.228204,6.248801,6.248801,357850804
2021-12-29,6.251542,6.415258,5.866390,5.918898,5.918898,364390936
2021-12-30,5.925574,6.146470,5.793849,6.071613,6.071613,278903815
2021-12-31,6.071052,6.128225,5.737753,5.891544,5.891544,281177714
2022-01-01,5.891584,6.112687,5.879682,6.111983,6.111983,212281676
2022-01-02,6.110732,6.461544,6.081951,6.296437,6.296437,286531212
2022-01-03,6.296652,6.442467,6.104453,6.187578,6.187578,335366029
2022-01-04,6.187623,6.245534,6.026159,6.035470,6.035470,285595034
2022-01-05,6.037176,6.233710,5.396854,5.606556,5.606556,325679959
2022-01-06,5.605247,5.691426,5.424432,5.654175,5.654175,291146897
2022-01-07,5.653570,5.676609,5.247762,5.506843,5.506843,316226503
2022-01-08,5.507310,5.869588,5.199380,5.372681,5.372681,321724157
2022-01-09,5.372963,5.489615,5.322291,5.374420,5.374420,178439754
2022-01-10,5.373520,5.407562,4.916725,5.106260,5.106260,259213755
2022-01-11,5.105912,5.397496,5.059199,5.319267,5.319267,196148374
2022-01-12,5.320150,6.030256,5.320150,5.874509,5.874509,418008120
2022-01-13,5.874047,6.320010,5.874047,5.954618,5.954618,546214609
2022-01-14,5.954414,6.254861,5.836222,6.035729,6.035729,313592215
2022-01-15,6.035868,6.824177,6.035492,6.764503,6.764503,569458853
2022-01-16,6.762127,6.883644,6.364156,6.569784,6.569784,390595301
2022-01-17,6.567469,6.576978,6.009027,6.242540,6.242540,293622933
2022-01-18,6.242403,6.282545,5.768295,5.926950,5.926950,285683930
2022-01-19,5.930841,5.931306,5.472113,5.472831,5.472831,215654622
2022-01-20,5.471964,5.848010,5.224003,5.224003,5.224003,204151578
2022-01-21,5.225331,5.329820,4.585979,4.704638,4.704638,401542499
2022-01-22,4.706033,4.882939,3.998454,4.235287,4.235287,546670999
2022-01-23,4.237901,4.495712,4.177910,4.418351,4.418351,319541662
2022-01-24,4.419322,4.423984,3.712550,4.121229,4.121229,444578667
2022-01-25,4.120644,4.287694,3.915367,4.222091,4.222091,289505363
2022-01-26,4.221501,4.555441,4.136061,4.231945,4.231945,315525853
2022-01-27,4.230903,4.406393,4.044935,4.218516,4.218516,364297757
2022-01-28,4.217804,4.613494,4.215585,4.580825,4.580825,402526393
2022-01-29,4.581159,4.911919,4.570739,4.861559,4.861559,321329232
2022-01-30,4.863488,4.991112,4.705864,4.834465,4.834465,246228394
2022-01-31,4.834342,5.117167,4.564826,5.015777,5.015777,317639656
2022-02-01,5.015998,5.043615,4.787548,4.903555,4.903555,194921096
2022-02-02,4.903037,4.956081,4.599094,4.634962,4.634962,159730372
